Year,Health Zone of Residence,Quarter,Month,Year/Month,Drug Type,Manner of Death,Sex,Frequency,"Rate per 100,000 population (annualized for quarterly data)",Percent,Living Situation,Place of event,Others present/aware,Opioids Stimulants Other
2015,Nova Scotia,Q1,,,Antidepressant,All manners,Total,3,1.3,,,,,
2015,Nova Scotia,Q2,,,Antidepressant,All manners,Total,3,1.3,,,,,
2015,Nova Scotia,Q3,,,Antidepressant,All manners,Total,11,4.7,,,,,
2015,Nova Scotia,Q4,,,Antidepressant,All manners,Total,3,1.3,,,,,
2015,Nova Scotia,All,,,Antidepressant,All manners,Male,11,2.4,,,,,
2015,Nova Scotia,All,,,Antidepressant,All manners,Female,9,1.9,,,,,
2015,Central,All,,,Cocaine,All manners,Total,7,1.6,,,,,
2015,Eastern,All,,,Cocaine,All manners,Total,2,1.2,,,,,
2015,Northern,All,,,Cocaine,All manners,Total,1,0.7,,,,,
2015,Western,All,,,Cocaine,All manners,Total,1,0.5,,,,,
2015,Nova Scotia,All,,,Cocaine,All manners,Total,12,1.3,,,,,
2015,Nova Scotia,All,,,Cocaine,Accident,Total,11,1.2,,,,,
2015,Nova Scotia,All,,,Cocaine,Suicide,Total,1,0.1,,,,,
2015,Nova Scotia,Q1,,,Cocaine,All manners,Total,1,0.4,,,,,
2015,Nova Scotia,Q2,,,Cocaine,All manners,Total,1,0.4,,,,,
2015,Nova Scotia,Q3,,,Cocaine,All manners,Total,3,1.3,,,,,
2015,Nova Scotia,Q4,,,Cocaine,All manners,Total,7,3,,,,,
2015,Nova Scotia,All,,,Cocaine,All manners,Male,7,1.5,,,,,
2015,Nova Scotia,All,,,Cocaine,All manners,Female,5,1,,,,,
2015,Central,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2015,Eastern,All,,,Methamphetamine,All manners,Total,1,0.6,,,,,
2015,Northern,All,,,Methamphetamine,All manners,Total,1,0.7,,,,,
2015,Western,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2015,Nova Scotia,All,,,Methamphetamine,All manners,Total,2,0.2,,,,,
2015,Nova Scotia,All,,,Methamphetamine,Accident,Total,2,0.2,,,,,
2015,Nova Scotia,All,,,Methamphetamine,Suicide,Total,0,0,,,,,
2015,Nova Scotia,Q1,,,Methamphetamine,All manners,Total,0,0,,,,,
2015,Nova Scotia,Q2,,,Methamphetamine,All manners,Total,1,0.4,,,,,
2015,Nova Scotia,Q3,,,Methamphetamine,All manners,Total,1,0.4,,,,,
2015,Nova Scotia,Q4,,,Methamphetamine,All manners,Total,0,0,,,,,
2015,Nova Scotia,All,,,Methamphetamine,All manners,Male,2,0.4,,,,,
2015,Nova Scotia,All,,,Methamphetamine,All manners,Female,0,0,,,,,
2015,Central,All,,,Stimulant - other,All manners,Total,1,0.2,,,,,
2015,Eastern,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2015,Northern,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2015,Western,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2015,Nova Scotia,All,,,Stimulant - other,All manners,Total,1,0.1,,,,,
2015,Nova Scotia,All,,,Stimulant - other,Accident,Total,1,0.1,,,,,
2015,Nova Scotia,All,,,Stimulant - other,Suicide,Total,0,0,,,,,
2015,Nova Scotia,Q1,,,Stimulant - other,All manners,Total,0,0,,,,,
2015,Nova Scotia,Q2,,,Stimulant - other,All manners,Total,0,0,,,,,
2015,Nova Scotia,Q3,,,Stimulant - other,All manners,Total,0,0,,,,,
2015,Nova Scotia,Q4,,,Stimulant - other,All manners,Total,1,0.4,,,,,
2015,Nova Scotia,All,,,Stimulant - other,All manners,Male,1,0.2,,,,,
2015,Nova Scotia,All,,,Stimulant - other,All manners,Female,0,0,,,,,
2015,Central,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2015,Eastern,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2015,Northern,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2015,Western,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2015,Nova Scotia,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2015,Nova Scotia,All,,,Gabapentinoid,Accident,Total,0,0,,,,,
2015,Nova Scotia,All,,,Gabapentinoid,Suicide,Total,0,0,,,,,
2015,Nova Scotia,Q1,,,Gabapentinoid,All manners,Total,0,0,,,,,
2015,Nova Scotia,Q2,,,Gabapentinoid,All manners,Total,0,0,,,,,
2015,Nova Scotia,Q3,,,Gabapentinoid,All manners,Total,0,0,,,,,
2015,Nova Scotia,Q4,,,Gabapentinoid,All manners,Total,0,0,,,,,
2015,Nova Scotia,All,,,Gabapentinoid,All manners,Male,0,0,,,,,
2015,Nova Scotia,All,,,Gabapentinoid,All manners,Female,0,0,,,,,
2015,Central,All,,,Ethanol,All manners,Total,9,2.1,,,,,
2015,Eastern,All,,,Ethanol,All manners,Total,5,3.1,,,,,
2015,Northern,All,,,Ethanol,All manners,Total,1,0.7,,,,,
2015,Western,All,,,Ethanol,All manners,Total,3,1.5,,,,,
2015,Nova Scotia,All,,,Ethanol,All manners,Total,19,2,,,,,
2015,Nova Scotia,All,,,Ethanol,Accident,Total,13,1.4,,,,,
2015,Nova Scotia,All,,,Ethanol,Suicide,Total,6,0.6,,,,,
2015,Nova Scotia,Q1,,,Ethanol,All manners,Total,5,2.1,,,,,
2015,Nova Scotia,Q2,,,Ethanol,All manners,Total,3,1.3,,,,,
2015,Nova Scotia,Q3,,,Ethanol,All manners,Total,3,1.3,,,,,
2015,Nova Scotia,Q4,,,Ethanol,All manners,Total,8,3.4,,,,,
2015,Nova Scotia,All,,,Ethanol,All manners,Male,16,3.5,,,,,
2015,Nova Scotia,All,,,Ethanol,All manners,Female,3,0.6,,,,,
2015,Central,All,,,Total - all substances,All manners,Total,42,9.8,,,,,
2015,Eastern,All,,,Total - all substances,All manners,Total,19,11.8,,,,,
2015,Northern,All,,,Total - all substances,All manners,Total,12,8.1,,,,,
2015,Western,All,,,Total - all substances,All manners,Total,13,6.6,,,,,
2015,Nova Scotia,All,,,Total - all substances,All manners,Total,87,9.3,,,,,
2015,Nova Scotia,All,,,Total - all substances,Accident,Total,63,6.7,,,,,
2015,Nova Scotia,All,,,Total - all substances,Suicide,Total,24,2.6,,,,,
2015,Nova Scotia,Q1,,,Total - all substances,All manners,Total,18,7.7,,,,,
2015,Nova Scotia,Q2,,,Total - all substances,All manners,Total,20,8.5,,,,,
2015,Nova Scotia,Q3,,,Total - all substances,All manners,Total,21,9,,,,,
2015,Nova Scotia,Q4,,,Total - all substances,All manners,Total,28,11.9,,,,,
2015,Nova Scotia,All,,,Total - all substances,All manners,Male,52,11.3,,,,,
2015,Nova Scotia,All,,,Total - all substances,All manners,Female,35,7.3,,,,,
2015,Central,All,,,Nonpharmaceutical drug (any),All manners,Total,9,2.1,,,,,
2015,Eastern,All,,,Nonpharmaceutical drug (any),All manners,Total,2,1.2,,,,,
2015,Northern,All,,,Nonpharmaceutical drug (any),All manners,Total,2,1.3,,,,,
2015,Western,All,,,Nonpharmaceutical drug (any),All manners,Total,1,0.5,,,,,
2015,Nova Scotia,All,,,Nonpharmaceutical drug (any),All manners,Total,15,1.6,,,,,
2015,Nova Scotia,All,,,Nonpharmaceutical drug (any),Accident,Total,14,1.5,,,,,
2015,Nova Scotia,All,,,Nonpharmaceutical drug (any),Suicide,Total,1,0.1,,,,,
2015,Nova Scotia,Q1,,,Nonpharmaceutical drug (any),All manners,Total,2,0.9,,,,,
2015,Nova Scotia,Q2,,,Nonpharmaceutical drug (any),All manners,Total,2,0.9,,,,,
2015,Nova Scotia,Q3,,,Nonpharmaceutical drug (any),All manners,Total,3,1.3,,,,,
2015,Nova Scotia,Q4,,,Nonpharmaceutical drug (any),All manners,Total,8,3.4,,,,,
2015,Nova Scotia,All,,,Nonpharmaceutical drug (any),All manners,Male,10,2.2,,,,,
2015,Nova Scotia,All,,,Nonpharmaceutical drug (any),All manners,Female,5,1,,,,,
2016,Central,All,,,Opioid - total,All manners,Total,24,5.5,,,,,
2016,Eastern,All,,,Opioid - total,All manners,Total,13,8.1,,,,,
2016,Northern,All,,,Opioid - total,All manners,Total,7,4.7,,,,,
2016,Western,All,,,Opioid - total,All manners,Total,10,5.1,,,,,
2016,Nova Scotia,All,,,Opioid - total,All manners,Total,54,5.7,,,,,
2016,Nova Scotia,All,,,Opioid - total,Accident,Total,41,4.3,,,,,
2016,Nova Scotia,All,,,Opioid - total,Suicide,Total,12,1.3,,,,,
2016,Nova Scotia,Q1,,,Opioid - total,All manners,Total,18,7.6,,,,,
2016,Nova Scotia,Q2,,,Opioid - total,All manners,Total,14,5.9,,,,,
2016,Nova Scotia,Q3,,,Opioid - total,All manners,Total,17,7.2,,,,,
2016,Nova Scotia,Q4,,,Opioid - total,All manners,Total,5,2.1,,,,,
2016,Nova Scotia,All,,,Opioid - total,All manners,Male,38,8.2,,,,,
2016,Nova Scotia,All,,,Opioid - total,All manners,Female,16,3.3,,,,,
2016,Central,All,,,Opioid - pharmaceutical,All manners,Total,17,3.9,,,,,
2016,Eastern,All,,,Opioid - pharmaceutical,All manners,Total,12,7.4,,,,,
2016,Northern,All,,,Opioid - pharmaceutical,All manners,Total,7,4.7,,,,,
2016,Western,All,,,Opioid - pharmaceutical,All manners,Total,9,4.6,,,,,
2016,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Total,45,4.8,,,,,
2016,Nova Scotia,All,,,Opioid - pharmaceutical,Accident,Total,34,3.6,,,,,
2016,Nova Scotia,All,,,Opioid - pharmaceutical,Suicide,Total,10,1.1,,,,,
2016,Nova Scotia,Q1,,,Opioid - pharmaceutical,All manners,Total,14,5.9,,,,,
2016,Nova Scotia,Q2,,,Opioid - pharmaceutical,All manners,Total,11,4.7,,,,,
2016,Nova Scotia,Q3,,,Opioid - pharmaceutical,All manners,Total,15,6.4,,,,,
2016,Nova Scotia,Q4,,,Opioid - pharmaceutical,All manners,Total,5,2.1,,,,,
2016,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Male,30,6.5,,,,,
2016,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Female,15,3.1,,,,,
2016,Central,All,,,Opioid - nonpharmaceutical,All manners,Total,8,1.8,,,,,
2016,Eastern,All,,,Opioid - nonpharmaceutical,All manners,Total,1,0.6,,,,,
2016,Northern,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Western,All,,,Opioid - nonpharmaceutical,All manners,Total,1,0.5,,,,,
2016,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Total,10,1.1,,,,,
2016,Nova Scotia,All,,,Opioid - nonpharmaceutical,Accident,Total,8,0.8,,,,,
2016,Nova Scotia,All,,,Opioid - nonpharmaceutical,Suicide,Total,2,0.2,,,,,
2016,Nova Scotia,Q1,,,Opioid - nonpharmaceutical,All manners,Total,4,1.7,,,,,
2016,Nova Scotia,Q2,,,Opioid - nonpharmaceutical,All manners,Total,3,1.3,,,,,
2016,Nova Scotia,Q3,,,Opioid - nonpharmaceutical,All manners,Total,3,1.3,,,,,
2016,Nova Scotia,Q4,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Male,9,2,,,,,
2016,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Female,1,0.2,,,,,
2016,Central,All,,,Benzodiazepine - pharmaceutical,All manners,Total,17,3.9,,,,,
2016,Eastern,All,,,Benzodiazepine - pharmaceutical,All manners,Total,11,6.8,,,,,
2016,Northern,All,,,Benzodiazepine - pharmaceutical,All manners,Total,8,5.4,,,,,
2016,Western,All,,,Benzodiazepine - pharmaceutical,All manners,Total,5,2.5,,,,,
2016,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Total,41,4.3,,,,,
2016,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,Accident,Total,31,3.3,,,,,
2016,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,Suicide,Total,10,1.1,,,,,
2016,Nova Scotia,Q1,,,Benzodiazepine - pharmaceutical,All manners,Total,12,5.1,,,,,
2016,Nova Scotia,Q2,,,Benzodiazepine - pharmaceutical,All manners,Total,9,3.8,,,,,
2016,Nova Scotia,Q3,,,Benzodiazepine - pharmaceutical,All manners,Total,14,5.9,,,,,
2016,Nova Scotia,Q4,,,Benzodiazepine - pharmaceutical,All manners,Total,6,2.5,,,,,
2016,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Male,27,5.9,,,,,
2016,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Female,14,2.9,,,,,
2016,Central,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Eastern,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Northern,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Western,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,Accident,Total,0,0,,,,,
2016,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,Suicide,Total,0,0,,,,,
2016,Nova Scotia,Q1,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Nova Scotia,Q2,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Nova Scotia,Q3,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Nova Scotia,Q4,,,Benzodiazepine - nonpharmaceutical,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,All manners,Male,0,0,,,,,
2016,Nova Scotia,All,,,Benzodiazepine - nonpharmaceutical,All manners,Female,0,0,,,,,
2016,Central,All,,,Z drug,All manners,Total,2,0.5,,,,,
2016,Eastern,All,,,Z drug,All manners,Total,0,0,,,,,
2016,Northern,All,,,Z drug,All manners,Total,0,0,,,,,
2016,Western,All,,,Z drug,All manners,Total,2,1,,,,,
2016,Nova Scotia,All,,,Z drug,All manners,Total,4,0.4,,,,,
2016,Nova Scotia,All,,,Z drug,Accident,Total,0,0,,,,,
2016,Nova Scotia,All,,,Z drug,Suicide,Total,4,0.4,,,,,
2016,Nova Scotia,Q1,,,Z drug,All manners,Total,2,0.8,,,,,
2016,Nova Scotia,Q2,,,Z drug,All manners,Total,1,0.4,,,,,
2016,Nova Scotia,Q3,,,Z drug,All manners,Total,1,0.4,,,,,
2016,Nova Scotia,Q4,,,Z drug,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Z drug,All manners,Male,2,0.4,,,,,
2016,Nova Scotia,All,,,Z drug,All manners,Female,2,0.4,,,,,
2016,Central,All,,,Antidepressant,All manners,Total,7,1.6,,,,,
2016,Eastern,All,,,Antidepressant,All manners,Total,3,1.9,,,,,
2016,Northern,All,,,Antidepressant,All manners,Total,4,2.7,,,,,
2016,Western,All,,,Antidepressant,All manners,Total,4,2,,,,,
2016,Nova Scotia,All,,,Antidepressant,All manners,Total,18,1.9,,,,,
2016,Nova Scotia,All,,,Antidepressant,Accident,Total,5,0.5,,,,,
2016,Nova Scotia,All,,,Antidepressant,Suicide,Total,12,1.3,,,,,
2016,Nova Scotia,Q1,,,Antidepressant,All manners,Total,2,0.8,,,,,
2016,Nova Scotia,Q2,,,Antidepressant,All manners,Total,7,3,,,,,
2016,Nova Scotia,Q3,,,Antidepressant,All manners,Total,6,2.5,,,,,
2016,Nova Scotia,Q4,,,Antidepressant,All manners,Total,3,1.3,,,,,
2016,Nova Scotia,All,,,Antidepressant,All manners,Male,10,2.2,,,,,
2016,Nova Scotia,All,,,Antidepressant,All manners,Female,8,1.7,,,,,
2016,Central,All,,,Cocaine,All manners,Total,11,2.5,,,,,
2016,Eastern,All,,,Cocaine,All manners,Total,3,1.9,,,,,
2016,Northern,All,,,Cocaine,All manners,Total,0,0,,,,,
2016,Western,All,,,Cocaine,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Cocaine,All manners,Total,14,1.5,,,,,
2016,Nova Scotia,All,,,Cocaine,Accident,Total,13,1.4,,,,,
2016,Nova Scotia,All,,,Cocaine,Suicide,Total,1,0.1,,,,,
2016,Nova Scotia,Q1,,,Cocaine,All manners,Total,3,1.3,,,,,
2016,Nova Scotia,Q2,,,Cocaine,All manners,Total,7,3,,,,,
2016,Nova Scotia,Q3,,,Cocaine,All manners,Total,3,1.3,,,,,
2016,Nova Scotia,Q4,,,Cocaine,All manners,Total,1,0.4,,,,,
2016,Nova Scotia,All,,,Cocaine,All manners,Male,10,2.2,,,,,
2016,Nova Scotia,All,,,Cocaine,All manners,Female,4,0.8,,,,,
2016,Central,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2016,Eastern,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2016,Northern,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2016,Western,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Methamphetamine,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Methamphetamine,Accident,Total,0,0,,,,,
2016,Nova Scotia,All,,,Methamphetamine,Suicide,Total,0,0,,,,,
2016,Nova Scotia,Q1,,,Methamphetamine,All manners,Total,0,0,,,,,
2016,Nova Scotia,Q2,,,Methamphetamine,All manners,Total,0,0,,,,,
2016,Nova Scotia,Q3,,,Methamphetamine,All manners,Total,0,0,,,,,
2016,Nova Scotia,Q4,,,Methamphetamine,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Methamphetamine,All manners,Male,0,0,,,,,
2016,Nova Scotia,All,,,Methamphetamine,All manners,Female,0,0,,,,,
2016,Central,All,,,Stimulant - other,All manners,Total,1,0.2,,,,,
2016,Eastern,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2016,Northern,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2016,Western,All,,,Stimulant - other,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Stimulant - other,All manners,Total,1,0.1,,,,,
2016,Nova Scotia,All,,,Stimulant - other,Accident,Total,1,0.1,,,,,
2016,Nova Scotia,All,,,Stimulant - other,Suicide,Total,0,0,,,,,
2016,Nova Scotia,Q1,,,Stimulant - other,All manners,Total,1,0.4,,,,,
2016,Nova Scotia,Q2,,,Stimulant - other,All manners,Total,0,0,,,,,
2016,Nova Scotia,Q3,,,Stimulant - other,All manners,Total,0,0,,,,,
2016,Nova Scotia,Q4,,,Stimulant - other,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Stimulant - other,All manners,Male,1,0.2,,,,,
2016,Nova Scotia,All,,,Stimulant - other,All manners,Female,0,0,,,,,
2016,Central,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2016,Eastern,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2016,Northern,All,,,Gabapentinoid,All manners,Total,1,0.7,,,,,
2016,Western,All,,,Gabapentinoid,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Gabapentinoid,All manners,Total,1,0.1,,,,,
2016,Nova Scotia,All,,,Gabapentinoid,Accident,Total,1,0.1,,,,,
2016,Nova Scotia,All,,,Gabapentinoid,Suicide,Total,0,0,,,,,
2016,Nova Scotia,Q1,,,Gabapentinoid,All manners,Total,0,0,,,,,
2016,Nova Scotia,Q2,,,Gabapentinoid,All manners,Total,0,0,,,,,
2016,Nova Scotia,Q3,,,Gabapentinoid,All manners,Total,1,0.4,,,,,
2016,Nova Scotia,Q4,,,Gabapentinoid,All manners,Total,0,0,,,,,
2016,Nova Scotia,All,,,Gabapentinoid,All manners,Male,1,0.2,,,,,
2016,Nova Scotia,All,,,Gabapentinoid,All manners,Female,0,0,,,,,
2016,Central,All,,,Ethanol,All manners,Total,7,1.6,,,,,
2016,Eastern,All,,,Ethanol,All manners,Total,6,3.7,,,,,
2016,Northern,All,,,Ethanol,All manners,Total,5,3.4,,,,,
2016,Western,All,,,Ethanol,All manners,Total,4,2,,,,,
2016,Nova Scotia,All,,,Ethanol,All manners,Total,23,2.4,,,,,
2016,Nova Scotia,All,,,Ethanol,Accident,Total,18,1.9,,,,,
2016,Nova Scotia,All,,,Ethanol,Suicide,Total,4,0.4,,,,,
2016,Nova Scotia,Q1,,,Ethanol,All manners,Total,9,3.8,,,,,
2016,Nova Scotia,Q2,,,Ethanol,All manners,Total,5,2.1,,,,,
2016,Nova Scotia,Q3,,,Ethanol,All manners,Total,4,1.7,,,,,
2016,Nova Scotia,Q4,,,Ethanol,All manners,Total,5,2.1,,,,,
2016,Nova Scotia,All,,,Ethanol,All manners,Male,17,3.7,,,,,
2016,Nova Scotia,All,,,Ethanol,All manners,Female,6,1.2,,,,,
2016,Central,All,,,Total - all substances,All manners,Total,41,9.4,,,,,
2016,Eastern,All,,,Total - all substances,All manners,Total,21,13,,,,,
2016,Northern,All,,,Total - all substances,All manners,Total,11,7.4,,,,,
2016,Western,All,,,Total - all substances,All manners,Total,12,6.1,,,,,
2016,Nova Scotia,All,,,Total - all substances,All manners,Total,86,9.1,,,,,
2016,Nova Scotia,All,,,Total - all substances,Accident,Total,61,6.5,,,,,
2016,Nova Scotia,All,,,Total - all substances,Suicide,Total,22,2.3,,,,,
2016,Nova Scotia,Q1,,,Total - all substances,All manners,Total,24,10.2,,,,,
2016,Nova Scotia,Q2,,,Total - all substances,All manners,Total,27,11.5,,,,,
2016,Nova Scotia,Q3,,,Total - all substances,All manners,Total,23,9.8,,,,,
2016,Nova Scotia,Q4,,,Total - all substances,All manners,Total,12,5.1,,,,,
2016,Nova Scotia,All,,,Total - all substances,All manners,Male,60,13,,,,,
2016,Nova Scotia,All,,,Total - all substances,All manners,Female,26,5.4,,,,,
2016,Central,All,,,Nonpharmaceutical drug (any),All manners,Total,18,4.1,,,,,
2016,Eastern,All,,,Nonpharmaceutical drug (any),All manners,Total,4,2.5,,,,,
2016,Northern,All,,,Nonpharmaceutical drug (any),All manners,Total,0,0,,,,,
2016,Western,All,,,Nonpharmaceutical drug (any),All manners,Total,1,0.5,,,,,
2016,Nova Scotia,All,,,Nonpharmaceutical drug (any),All manners,Total,23,2.4,,,,,
2016,Nova Scotia,All,,,Nonpharmaceutical drug (any),Accident,Total,20,2.1,,,,,
2016,Nova Scotia,All,,,Nonpharmaceutical drug (any),Suicide,Total,3,0.3,,,,,
2016,Nova Scotia,Q1,,,Nonpharmaceutical drug (any),All manners,Total,6,2.5,,,,,
2016,Nova Scotia,Q2,,,Nonpharmaceutical drug (any),All manners,Total,10,4.2,,,,,
2016,Nova Scotia,Q3,,,Nonpharmaceutical drug (any),All manners,Total,6,2.5,,,,,
2016,Nova Scotia,Q4,,,Nonpharmaceutical drug (any),All manners,Total,1,0.4,,,,,
2016,Nova Scotia,All,,,Nonpharmaceutical drug (any),All manners,Male,18,3.9,,,,,
2016,Nova Scotia,All,,,Nonpharmaceutical drug (any),All manners,Female,5,1,,,,,
2017,Central,All,,,Opioid - total,All manners,Total,18,4.1,,,,,
2017,Eastern,All,,,Opioid - total,All manners,Total,26,16.1,,,,,
2017,Northern,All,,,Opioid - total,All manners,Total,10,6.7,,,,,
2017,Western,All,,,Opioid - total,All manners,Total,8,4,,,,,
2017,Nova Scotia,All,,,Opioid - total,All manners,Total,64,6.7,,,,,
2017,Nova Scotia,All,,,Opioid - total,Accident,Total,58,6.1,,,,,
2017,Nova Scotia,All,,,Opioid - total,Suicide,Total,6,0.6,,,,,
2017,Nova Scotia,Q1,,,Opioid - total,All manners,Total,19,8,,,,,
2017,Nova Scotia,Q2,,,Opioid - total,All manners,Total,17,7.1,,,,,
2017,Nova Scotia,Q3,,,Opioid - total,All manners,Total,13,5.5,,,,,
2017,Nova Scotia,Q4,,,Opioid - total,All manners,Total,15,6.3,,,,,
2017,Nova Scotia,All,,,Opioid - total,All manners,Male,44,9.4,,,,,
2017,Nova Scotia,All,,,Opioid - total,All manners,Female,20,4.1,,,,,
2017,Central,All,,,Opioid - pharmaceutical,All manners,Total,15,3.4,,,,,
2017,Eastern,All,,,Opioid - pharmaceutical,All manners,Total,25,15.5,,,,,
2017,Northern,All,,,Opioid - pharmaceutical,All manners,Total,9,6,,,,,
2017,Western,All,,,Opioid - pharmaceutical,All manners,Total,8,4,,,,,
2017,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Total,59,6.2,,,,,
2017,Nova Scotia,All,,,Opioid - pharmaceutical,Accident,Total,53,5.6,,,,,
2017,Nova Scotia,All,,,Opioid - pharmaceutical,Suicide,Total,6,0.6,,,,,
2017,Nova Scotia,Q1,,,Opioid - pharmaceutical,All manners,Total,18,7.6,,,,,
2017,Nova Scotia,Q2,,,Opioid - pharmaceutical,All manners,Total,15,6.3,,,,,
2017,Nova Scotia,Q3,,,Opioid - pharmaceutical,All manners,Total,12,5,,,,,
2017,Nova Scotia,Q4,,,Opioid - pharmaceutical,All manners,Total,14,5.9,,,,,
2017,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Male,39,8.4,,,,,
2017,Nova Scotia,All,,,Opioid - pharmaceutical,All manners,Female,20,4.1,,,,,
2017,Central,All,,,Opioid - nonpharmaceutical,All manners,Total,3,0.7,,,,,
2017,Eastern,All,,,Opioid - nonpharmaceutical,All manners,Total,1,0.6,,,,,
2017,Northern,All,,,Opioid - nonpharmaceutical,All manners,Total,1,0.7,,,,,
2017,Western,All,,,Opioid - nonpharmaceutical,All manners,Total,0,0,,,,,
2017,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Total,5,0.5,,,,,
2017,Nova Scotia,All,,,Opioid - nonpharmaceutical,Accident,Total,5,0.5,,,,,
2017,Nova Scotia,All,,,Opioid - nonpharmaceutical,Suicide,Total,0,0,,,,,
2017,Nova Scotia,Q1,,,Opioid - nonpharmaceutical,All manners,Total,1,0.4,,,,,
2017,Nova Scotia,Q2,,,Opioid - nonpharmaceutical,All manners,Total,2,0.8,,,,,
2017,Nova Scotia,Q3,,,Opioid - nonpharmaceutical,All manners,Total,1,0.4,,,,,
2017,Nova Scotia,Q4,,,Opioid - nonpharmaceutical,All manners,Total,1,0.4,,,,,
2017,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Male,5,1.1,,,,,
2017,Nova Scotia,All,,,Opioid - nonpharmaceutical,All manners,Female,0,0,,,,,
2017,Central,All,,,Benzodiazepine - pharmaceutical,All manners,Total,15,3.4,,,,,
2017,Eastern,All,,,Benzodiazepine - pharmaceutical,All manners,Total,22,13.6,,,,,
2017,Northern,All,,,Benzodiazepine - pharmaceutical,All manners,Total,9,6,,,,,
2017,Western,All,,,Benzodiazepine - pharmaceutical,All manners,Total,2,1,,,,,
2017,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Total,49,5.1,,,,,
2017,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,Accident,Total,42,4.4,,,,,
2017,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,Suicide,Total,6,0.6,,,,,
2017,Nova Scotia,Q1,,,Benzodiazepine - pharmaceutical,All manners,Total,16,6.7,,,,,
2017,Nova Scotia,Q2,,,Benzodiazepine - pharmaceutical,All manners,Total,11,4.6,,,,,
2017,Nova Scotia,Q3,,,Benzodiazepine - pharmaceutical,All manners,Total,10,4.2,,,,,
2017,Nova Scotia,Q4,,,Benzodiazepine - pharmaceutical,All manners,Total,12,5,,,,,
2017,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Male,35,7.5,,,,,
2017,Nova Scotia,All,,,Benzodiazepine - pharmaceutical,All manners,Female,14,2.9,,,,,
